Input,Output
so I just let her know that I was in a relationship so that she wouldn't get the wrong idea.,that was the right move!
asked my 7 year old what 12x12 was the other day_comma_ and he gave me the correct answer without hesitation.,That's impressive_comma_ sounds like a smart young man.
other day_comma_ and he gave me the correct answer without hesitation. <sep> That's impressive_comma_ sounds like a smart young man.,Thanks_comma_ I'm really proud of him. We homeschool so I guess I'm doing something right!
a smart young man. <sep> Thanks_comma_ I'm really proud of him. We homeschool so I guess I'm doing something right!,Sounds like it_comma_ Good for you guys!
first ever console i owned personally was a gamecube. Was so surprised getting it was funny what my parents did.,Ahh yes_comma_  must have been a very nice surprise! Did you play Mario on it?
my parents did. <sep> Ahh yes_comma_  must have been a very nice surprise! Did you play Mario on it?,I didn't get Mario until late was Sonic adventures 2_comma_ Parents hid the console in the bathroom with the game and told me to go clean the bathroom.
adventures 2_comma_ Parents hid the console in the bathroom with the game and told me to go clean the bathroom.,Well thats one way to get your kids to do household chores!
I still remember my high school days_comma_ I was a terrific athlete during that time.,What athletics did you participate in?
remember my high school days_comma_ I was a terrific athlete during that time. <sep> What athletics did you participate in?,The runner's marathon. I felt so proud when I came in second place because I had trained for many months for it!
marathon. I felt so proud when I came in second place because I had trained for many months for it!,Man i know that feeling. But sounds like you worked hard.
My brother graduated high school_comma_ I was proud of him,When did he graduate? Sounds like a really cool moment to share with him.
I was proud of him <sep> When did he graduate? Sounds like a really cool moment to share with him.,2017_comma_ I was there_comma_ it was awesome!
he graduate? Sounds like a really cool moment to share with him. <sep> 2017_comma_ I was there_comma_ it was awesome!,I graduated that year too! Cool to see that you were as excited as he likely was.
my girlfriend randomly broke up with me and I had no idea that she was even close to considering that.,I am very sorry to hear that_comma_ that must be terrible....
that she was even close to considering that. <sep> I am very sorry to hear that_comma_ that must be terrible....,It wasn't a great time_comma_ but it just really irked me since I had no idea that she was not into me at that time. She must've been really good at faking it.
had no idea that she was not into me at that time. She must've been really good at faking it.,I undertand that. People are crazy like that_comma_ I never understood it
and I even got to go to the house that we used to hang out in years and years ago.,That is something I want to do when I get older_comma_ I miss the golden days!
and years ago. <sep> That is something I want to do when I get older_comma_ I miss the golden days!,You should_comma_ especially if you truly miss any of your childhood friends. It was a surreal but amazing experience.
<sep> You should_comma_ especially if you truly miss any of your childhood friends. It was a surreal but amazing experience.,I bet it was_comma_ to catch up after awhile_comma_ few things really compare
My grandmother passed away when I was a child_comma_ it really upset me,That's tragic_comma_ I haven't had to deal with anything like that yet.
was a child_comma_ it really upset me <sep> That's tragic_comma_ I haven't had to deal with anything like that yet.,I am happy for you_comma_ I hope that continues
I haven't had to deal with anything like that yet. <sep> I am happy for you_comma_ I hope that continues,I hope so too_comma_ and I hope that you don't have to deal with anything like that anytime soon.
I have a girlfriend_comma_ and I will never cheat on her,So your saying your faithful and love her.
I have a girlfriend_comma_ and I will never cheat on her <sep> So your saying your faithful and love her.,Absolutely_comma_ not even a doubt
will never cheat on her <sep> So your saying your faithful and love her. <sep> Absolutely_comma_ not even a doubt,Sounds like you got your priorities straight good man.
So i am really happy with myself lately. Finally graduated college after 8 years since 2009.,Wow_comma_ go you! I am proud of you_comma_ it can be tough to do!
after 8 years since 2009. <sep> Wow_comma_ go you! I am proud of you_comma_ it can be tough to do!,Yeah it felt tough every year that passed but i got that degree man.
can be tough to do! <sep> Yeah it felt tough every year that passed but i got that degree man.,That is what matters_comma_ best of luck using it friend!
I have a girlfriend_comma_ and I would never cheat on her,That is an amazing thing. Being cheated on is one of the worst things that can happen when ones enters a bond like a relationship.
Being cheated on is one of the worst things that can happen when ones enters a bond like a relationship.,I agree_comma_ I am not sure how people can do that to each other
a bond like a relationship. <sep> I agree_comma_ I am not sure how people can do that to each other,I am sure that you two will have a happy and loving life together especially if she reciprocates your desire to never cheat. 
My sister is coming from France to visit us. I am happy to see her again.,How exciting_comma_ are you from France?
coming from France to visit us. I am happy to see her again. <sep> How exciting_comma_ are you from France?,No_comma_ I am not. It is exciting. It has been almost a year since I saw her.
from France? <sep> No_comma_ I am not. It is exciting. It has been almost a year since I saw her.,When did she move out there?
I started working out again and it was nerveracking to begin again.,Great. How long did you stop working out?
started working out again and it was nerveracking to begin again. <sep> Great. How long did you stop working out?,It's been over 10 years since i've worked out!
again. <sep> Great. How long did you stop working out? <sep> It's been over 10 years since i've worked out!,It is always good to work out but start slowly since it has been a long time since your last work out.
always good to work out but start slowly since it has been a long time since your last work out.,yes i did and i have slowly gotten back into it.
This morning I was running late for work_comma_ and I got so mad at the driver in front of me!,Was the person one of those one people who goes like 5 miles an hour in a 65?
me! <sep> Was the person one of those one people who goes like 5 miles an hour in a 65?,No_comma_ but I do hate those_comma_ too! We were in bumper to bumper traffic_comma_ and this woman is putting on her makeup.  She doesn't notice when the car in front of her moves_comma_ and we miss the light. Ugh!
her makeup.  She doesn't notice when the car in front of her moves_comma_ and we miss the light. Ugh!,The question is_comma_ did the woman at least do a good job ( from what you could see)?
Ugh! <sep> The question is_comma_ did the woman at least do a good job ( from what you could see)?,LOL! Not my place to judge.  I was so hopping mad about having to sit through that stupid light again. 
It made me feel really disappointed when my CV got rejected in the first place.,How did you respond after rejection?
me feel really disappointed when my CV got rejected in the first place. <sep> How did you respond after rejection?,Well it took some time for me to cope up because I really put a lot of efforts_comma_ however I got to understand that it should be rather taken as a learning experience
put a lot of efforts_comma_ however I got to understand that it should be rather taken as a learning experience,Yes_comma_ you hear stories all of the time about people being rejected to find out that it was a blessing in disguise
hear stories all of the time about people being rejected to find out that it was a blessing in disguise,True_comma_ and guess what ! Next morning I got a call from a company which I least expected.
are not the greatest lately and I've been so worried. I haven't been sleeping due to stressing about this situation.,I am sorry to hear that_comma_ I hope things turn around for you soon!
to stressing about this situation. <sep> I am sorry to hear that_comma_ I hope things turn around for you soon!,Thank you! I'm working through it and I have come up with several solutions to this debt problem.
soon! <sep> Thank you! I'm working through it and I have come up with several solutions to this debt problem.,I am glad to hear that_comma_ I hope they work out for you!
several solutions to this debt problem. <sep> I am glad to hear that_comma_ I hope they work out for you!,Thank you so much! I think it will all work out!
I ate my coworkers food recently_comma_ I feel bad but they left it there for awhile,HaHa What kind of food did they leave for you? Did you say anything to them?
there for awhile <sep> HaHa What kind of food did they leave for you? Did you say anything to them?,I ate their wings and so it was kinda hard to hide because my fingers were orange.... whoops
them? <sep> I ate their wings and so it was kinda hard to hide because my fingers were orange.... whoops,LOL It really shouldn't be funny but for some reason you are making me laugh! I guess that will teach them to leave their lunch sitting around! haha
I beat my classmate in a school election_comma_ even though she was way more popular,omg congratulations! Thats a great achievement and must give you so much pride and motication for the future
popular <sep> omg congratulations! Thats a great achievement and must give you so much pride and motication for the future,Thank you_comma_ I appreciate it!
great achievement and must give you so much pride and motication for the future <sep> Thank you_comma_ I appreciate it!,All the best for your future and your role aswell! 
I went to florida one time and saw a childhood friend there_comma_ that was a surprise!,You are right.Florida is a big state with lot's of people.
a childhood friend there_comma_ that was a surprise! <sep> You are right.Florida is a big state with lot's of people.,It sure is_comma_ what are the odds...
<sep> You are right.Florida is a big state with lot's of people. <sep> It sure is_comma_ what are the odds...,The odds must be astronomical_comma_ almost like winning the lottery.
I am surprised England Lost to Croatia on the World Cup.I tought they were gonna win easily ,I am shocked too_comma_ Croatia only has 4 millio people
World Cup.I tought they were gonna win easily  <sep> I am shocked too_comma_ Croatia only has 4 millio people,Did you watched the game? The Croatians were warriors out there.
shocked too_comma_ Croatia only has 4 millio people <sep> Did you watched the game? The Croatians were warriors out there.,Yeaah they really were_comma_ number 12 killed it with that goal 
game? The Croatians were warriors out there. <sep> Yeaah they really were_comma_ number 12 killed it with that goal ,That goal took them to the world cup final
My parents let me live in their house for free_comma_ I am realy thankful,I feel that man_comma_ Parents like that care for their family a lot.
for free_comma_ I am realy thankful <sep> I feel that man_comma_ Parents like that care for their family a lot.,Yeaaah_comma_ I know a lot of people who struggle with bills. 
that care for their family a lot. <sep> Yeaaah_comma_ I know a lot of people who struggle with bills. ,I am in that boat at times where i live.
Was scared about the interview but after just taking a deep breath. I just felt like i owned the place.,I know that feeling_comma_ good for you!
taking a deep breath. I just felt like i owned the place. <sep> I know that feeling_comma_ good for you!,You ever just get those moment where you shake it off and the confident feeling flows in.
for you! <sep> You ever just get those moment where you shake it off and the confident feeling flows in.,Yes_comma_ those are awesome feelings_comma_ I crave that all the time
felt bad once because i broke my parents fax machine. What made me feel bad even more he got angry.,well he did have a right to be angry (depending on how you broke it ofc)
he got angry. <sep> well he did have a right to be angry (depending on how you broke it ofc),Yeah he did but i felt bad cause he threw the fax machine into the kitchen. This was a heavy machine by the way.
i felt bad cause he threw the fax machine into the kitchen. This was a heavy machine by the way.,oh darn thats just abit rude and unnecessary. I hope everything is ok now 
I have a met with an accident once. one gentlemen saved my life,I am glad to hear that_comma_ did you repay him?
with an accident once. one gentlemen saved my life <sep> I am glad to hear that_comma_ did you repay him?,Yeah i did. I have visited him once i was up and running. He was so chuffed see me breathing
Yeah i did. I have visited him once i was up and running. He was so chuffed see me breathing,That is good to hear_comma_ I am glad it worked out well instead of a disaster
see me breathing <sep> That is good to hear_comma_ I am glad it worked out well instead of a disaster,God's grace it did worked out well. We became buddies over the time
I was angry when my brother ruined the result of a football game. I recorded it to watch later,sibling fights worth living for.. I wish  i had one.
football game. I recorded it to watch later <sep> sibling fights worth living for.. I wish  i had one.,I am glad I do_comma_ I just wish they could shutup sometimes haha
I wish  i had one. <sep> I am glad I do_comma_ I just wish they could shutup sometimes haha,you would know better hehe!!
I am so excited. Tomorrow is my birthday,Well happy early birthday! I hope you have a great day!
I am so excited. Tomorrow is my birthday <sep> Well happy early birthday! I hope you have a great day!,Thanks. I can't wait for tomorrow for the party and the presents
I hope you have a great day! <sep> Thanks. I can't wait for tomorrow for the party and the presents,I bet_comma_ I hope you get everything you want!
I was lonely as a teenager_comma_ I had no girlfriend and few friends. I was sad often,Sorry to hear that. Do you have more firends now?
no girlfriend and few friends. I was sad often <sep> Sorry to hear that. Do you have more firends now?,I do luckily_comma_ and a great girlfriend_comma_ so things work out in the end
you have more firends now? <sep> I do luckily_comma_ and a great girlfriend_comma_ so things work out in the end,Great.
I am so annoyed that France is in the world cup final. I do not like their style of play,What is it about their style of play that you're not a fan of?
like their style of play <sep> What is it about their style of play that you're not a fan of?,They are to defensive.Their games are so boring.
about their style of play that you're not a fan of? <sep> They are to defensive.Their games are so boring.,I see where you're coming from. 
I am so surprised Roger Federer lost yesterday at Wimbledon. he is the GOAT of tennis.,I'm not too familiar with Tennis_comma_ Is he known to be a winner? 
is the GOAT of tennis. <sep> I'm not too familiar with Tennis_comma_ Is he known to be a winner? ,He is the best player ever.He won the mos grand slams titles.
he known to be a winner?  <sep> He is the best player ever.He won the mos grand slams titles.,Wow that's neat! Crazy to hear he lost then as you said.
the only thing on our mind for the longest time was if we were having a boy or a girl.,What exciting news! Did you find out ahead of time what the gender of the baby was?
a girl. <sep> What exciting news! Did you find out ahead of time what the gender of the baby was?,We did! We were living in Japan at the time_comma_ and we were paying this clinic 2000 yen a week so we could keep getting ultrasounds of the baby.
time_comma_ and we were paying this clinic 2000 yen a week so we could keep getting ultrasounds of the baby.,What is 2000 yen equal to in U.S. currency?
week so we could keep getting ultrasounds of the baby. <sep> What is 2000 yen equal to in U.S. currency?,At the time_comma_ the exchange rate was about 110 yen to the dollar_comma_ so it was pretty affordable_comma_ and worth it to keep going back.
rate was about 110 yen to the dollar_comma_ so it was pretty affordable_comma_ and worth it to keep going back.,It sure sounds like it. I think healthcare in Japan is much more affordable that here in America_comma_ do you agree?
sure sounds like it. I think healthcare in Japan is much more affordable that here in America_comma_ do you agree?,I wouldn't be able to tell you_comma_ since I wasn't under their healthcare system.  This was just a women's clinic that offered this service pretty cheaply.
since I wasn't under their healthcare system.  This was just a women's clinic that offered this service pretty cheaply.,Oh_comma_ okay_comma_ well I watched a documentary about healthcare in other countries. I understand that doesn't apply here.
I'm so happy and relieved my mom came to my rescue this week.,Moms are good at doing that_comma_ aren't they?  What did she do for you?
my rescue this week. <sep> Moms are good at doing that_comma_ aren't they?  What did she do for you?,She offered to help me out financially with something that was really stressing me out.
she do for you? <sep> She offered to help me out financially with something that was really stressing me out.,I know that feeling! What's been getting to you?
out financially with something that was really stressing me out. <sep> I know that feeling! What's been getting to you?,I fell off the back porch steps and broke my wrist. It required surgery.
What's been getting to you? <sep> I fell off the back porch steps and broke my wrist. It required surgery.,I'm sorry to hear that.  I hope you make a speedy recovery!
broke my wrist. It required surgery. <sep> I'm sorry to hear that.  I hope you make a speedy recovery!,Thanks! I feel like I am. I have double up on milk consumption haha..
You tend to feel really low when you travel frequently. I believe it's because you miss family & friends,yes_comma_ especially if you travel a lot and for a long time. Is it for work?
family & friends <sep> yes_comma_ especially if you travel a lot and for a long time. Is it for work?,Yeah_comma_ it's mainly for client site assignments that I have to travel !
long time. Is it for work? <sep> Yeah_comma_ it's mainly for client site assignments that I have to travel !,Where do you go the most?
Yeah_comma_ it's mainly for client site assignments that I have to travel ! <sep> Where do you go the most?,It's always interesting to travel to Europe or the Western countries because you have a lot more to do! However quite often I have been travelling to Africa as well.
countries because you have a lot more to do! However quite often I have been travelling to Africa as well.,That is nice! I wish I can go to those countries
In the other hand_comma_ I am excited to go to Vegas tomorrow,Wow ! that sound's really awesome. I wish I could have gone there. But surely not for work !
<sep> Wow ! that sound's really awesome. I wish I could have gone there. But surely not for work !,This is my first time going there. I want to try my luck
But surely not for work ! <sep> This is my first time going there. I want to try my luck,I wish you all the best pal ! You will surely rock !
a quick sharp turn_comma_ and felt like I nearly had just fell off. It was so realistic and frightening. ,Maybe something in your life  makes you very stress. You should try to relax before go to sleep.
<sep> Maybe something in your life  makes you very stress. You should try to relax before go to sleep.,Possibly_comma_ my dreams are often very confusing and or lonely. It is very sad. I think I need a lifestyle change_comma_ or am just too stressed at night. 
lonely. It is very sad. I think I need a lifestyle change_comma_ or am just too stressed at night. ,You konw_comma_ sometimes consulting  a psy is a good investment. Dont be afraid to do that.
just took his lunch box_comma_ have a last look at me and said : I hope they will be nice.,That sounds very sad. I am very sorry to hear you experienced that. 
hope they will be nice. <sep> That sounds very sad. I am very sorry to hear you experienced that. ,Not sad at all. He was so happy_comma_ but of course a little bit anxious.
you experienced that.  <sep> Not sad at all. He was so happy_comma_ but of course a little bit anxious.,Huh_comma_ I see. Well good for him!
That's terrible! I suppose sometimes things backfire_comma_ no matter how good our intentions are.,What happened?
That's terrible! I suppose sometimes things backfire_comma_ no matter how good our intentions are. <sep> What happened?,They tried to make out I was bad at my job_comma_ that's the last time I'll give somebody a heads up at my own expense again.
was bad at my job_comma_ that's the last time I'll give somebody a heads up at my own expense again.,Oh_comma_ no. That's awful! Did you report something that had occurred at your job? 
my own expense again. <sep> Oh_comma_ no. That's awful! Did you report something that had occurred at your job? ,I sure did_comma_ thankfully I've been there a lot longer so they know me well enough.
your job?  <sep> I sure did_comma_ thankfully I've been there a lot longer so they know me well enough.,Yeah_comma_ that's good. It's hard to know whether to blow the whistle sometimes. It could always come back for you. I'm glad that it sounds like it worked out.
blow the whistle sometimes. It could always come back for you. I'm glad that it sounds like it worked out.,It did_comma_ but it could have ended very badly for me or even have resulted in me losing my job.
It did_comma_ but it could have ended very badly for me or even have resulted in me losing my job.,Yeah_comma_ navigating those sorts of things is treacherous_comma_ but as long as you know you're doing the right thing_comma_ that's all you can do. 
made me feel like our friendship meant nothing since he was going on to do bigger and better things. ,That can be pretty hard to swallow_comma_ do you stay in touch? It's easier these days with the likes of social media. How do you fill that void?
you stay in touch? It's easier these days with the likes of social media. How do you fill that void?,We don't really stay in touch anymore. He and his fiance invited me to their wedding_comma_ though. He's not a social media person_comma_ and I'm not either_comma_ so we've basically lost touch. I haven't filled the void_comma_ unfortunately_comma_ but I feel okay about it now. 
either_comma_ so we've basically lost touch. I haven't filled the void_comma_ unfortunately_comma_ but I feel okay about it now. ,That's such a shame_comma_ we grieve any kind of loss_comma_ I suppose. Perhaps the wedding would bring you closer together?
That's such a shame_comma_ we grieve any kind of loss_comma_ I suppose. Perhaps the wedding would bring you closer together?,Maybe it will. I'm not sure_comma_ but I feel more happy for him now than I do envious and hurt. So_comma_ whatever happens_comma_ happens. It's okay. 
I feel more happy for him now than I do envious and hurt. So_comma_ whatever happens_comma_ happens. It's okay. ,I hope it works out for you_comma_ life is too short. Fill your life with wonderful things and wonderful things will surely happen.
I am so exited about the coming world cup final.It is going to be a very exiting game,I'm not actually much of a soccer fan but the hype is hard to escape! 
very exiting game <sep> I'm not actually much of a soccer fan but the hype is hard to escape! ,The world is the biggest sports competition worldwide_comma_ right after the Olympics.
the hype is hard to escape!  <sep> The world is the biggest sports competition worldwide_comma_ right after the Olympics.,Yes_comma_ I'm aware_comma_ but i'm a much bigger hockey fan. 
biggest sports competition worldwide_comma_ right after the Olympics. <sep> Yes_comma_ I'm aware_comma_ but i'm a much bigger hockey fan. ,I do not like to watch hockey.You can't see the puck.
I am so disgust at Donald Trump and his immigration policies. ,I stand behind him. Compared to the rest of the world we are to easy on illegal immigrants and this is coming from a Mexican American. 
rest of the world we are to easy on illegal immigrants and this is coming from a Mexican American. ,It's coming form a traitor_comma_ you mean
on illegal immigrants and this is coming from a Mexican American.  <sep> It's coming form a traitor_comma_ you mean,How so because I want everyone in this place to be safe? You need to google immigration in other parts of the world and you will realize how awesome it is here.
You need to google immigration in other parts of the world and you will realize how awesome it is here.,I do not care about other parts of the world.I care about how my country treats immigrants.
is here. <sep> I do not care about other parts of the world.I care about how my country treats immigrants.,It's sad that you have such a small mind.
So you ever get those moments when you look like a idiot for not understanding what someone meant earlier.,It does happen sometimes. Has it ever occurred to you?
a idiot for not understanding what someone meant earlier. <sep> It does happen sometimes. Has it ever occurred to you?,Yeah when i was going to drive friends home i thought they were in my car at first but they wanted to ride on our way to the next place we were going.
in my car at first but they wanted to ride on our way to the next place we were going.,You must have felt terribly guilty when you realized! Happens to all of us
I usually study hard and get my grades but sometimes it doesnt work out. ,Brain just wants to work against you?
hard and get my grades but sometimes it doesnt work out.  <sep> Brain just wants to work against you?,Yep_comma_ basically my brain just abandoned me at the critical moment. I was so disappointed. 
work against you? <sep> Yep_comma_ basically my brain just abandoned me at the critical moment. I was so disappointed. ,I would get that a lot in school back in the day i feel it's pretty normal to have those moments.
I recently broke up with my girlfriend and i feel so lonely.,Oh_comma_ man. That's rough. I'm sorry. Are friends helping?
broke up with my girlfriend and i feel so lonely. <sep> Oh_comma_ man. That's rough. I'm sorry. Are friends helping?,They are trying_comma_ but they all are in relationships right now_comma_ so it is very difficult.
Are friends helping? <sep> They are trying_comma_ but they all are in relationships right now_comma_ so it is very difficult.,Friends I know who have been through rough breakups often say that physical activity helps. That_comma_ and time. But still -- it's difficult!
I won $50_comma_000 on one of the 3 scratch off tickets I recently bought!,Holy smokes - thats unbelievable.  I gave up on playing those scratch off games
tickets I recently bought! <sep> Holy smokes - thats unbelievable.  I gave up on playing those scratch off games,I know! I normally do not win so I could not believe it when I did!
scratch off games <sep> I know! I normally do not win so I could not believe it when I did!,How often do you play?
I started feeling a little anxious when my GPS just shut off,Were you using it to get to a specific place?
a little anxious when my GPS just shut off <sep> Were you using it to get to a specific place?,yes_comma_ I was traveling to my daughters new house
Were you using it to get to a specific place? <sep> yes_comma_ I was traveling to my daughters new house,I hope you were able to get it turned right back on in order to have directions to get where you were going.
I'm hopefully that their will be peace in this world.,I am hopeful as well_comma_ but because we are human beings_comma_ I doubt that will ever happen. There will always be the same old squabbles that have occurred since the dawn of man.
that will ever happen. There will always be the same old squabbles that have occurred since the dawn of man.,True_comma_ just don't like how the world is inching toward a conflict that could spill over to a nuclear war.
True_comma_ just don't like how the world is inching toward a conflict that could spill over to a nuclear war.,"Yeah_comma_ sadly our world leaders are too focused on ""flexing"" instead of working towards creating a world that is sustainable and liveable for our grandchildren's children"
"too focused on ""flexing"" instead of working towards creating a world that is sustainable and liveable for our grandchildren's children",Exactly_comma_ its truly very sad times at the moment
I went into the old abandoned house went and spent the night.,That's sad. Sorry you had to go through that.
into the old abandoned house went and spent the night. <sep> That's sad. Sorry you had to go through that.,Well i started hearing footsteps and voice it was so scary.
sad. Sorry you had to go through that. <sep> Well i started hearing footsteps and voice it was so scary.,I would have peed in my pants if i was there.
I started my first government job two years ago.,How do you feel now after so long being there?
I started my first government job two years ago. <sep> How do you feel now after so long being there?,It feels amazing to know that I've surpassed people that thought I would fail.
after so long being there? <sep> It feels amazing to know that I've surpassed people that thought I would fail.,That is a great feeling i bet! Good job man!
Last year_comma_ we had a trying experience during Hurricane Irma_comma_ but came out OK.,That must have been terrible. Were you okay?
had a trying experience during Hurricane Irma_comma_ but came out OK. <sep> That must have been terrible. Were you okay?, At first_comma_ there were no supplies. But yes_comma_ we ended up OK.
have been terrible. Were you okay? <sep>  At first_comma_ there were no supplies. But yes_comma_ we ended up OK.,I can imagine it must have been very distressing. Glad that you were OK.
yes_comma_ we ended up OK. <sep> I can imagine it must have been very distressing. Glad that you were OK.,Thanks.
Ever have those days when everything just goes wrong?,Yes_comma_ many. Would you like to tell me about it?
Ever have those days when everything just goes wrong? <sep> Yes_comma_ many. Would you like to tell me about it?,Well if you're curious_comma_ I was on my way to work when my car broke down and I ended up missing a very important meeting about my promotion. I was devastated. 
my car broke down and I ended up missing a very important meeting about my promotion. I was devastated. ,Surely you were able to explain that this was out of your control.
During college_comma_ I was bullied.,That is terrible.  Were you able to do anything about it?
During college_comma_ I was bullied. <sep> That is terrible.  Were you able to do anything about it?,No_comma_ it was terrible period for me. There was sometime that could sleep a full night.
anything about it? <sep> No_comma_ it was terrible period for me. There was sometime that could sleep a full night.,Did you speak to a counselor_comma_ priest_comma_ or family member about it?
Last year_comma_ my family went on vacation and left me all alone.,That is terrible. Did you feel lonely?
Last year_comma_ my family went on vacation and left me all alone. <sep> That is terrible. Did you feel lonely?,Yes.  I tried distracting myself with tv and internet_comma_ but i kept thinking of them.
you feel lonely? <sep> Yes.  I tried distracting myself with tv and internet_comma_ but i kept thinking of them.,How long did you stay alone?
tried distracting myself with tv and internet_comma_ but i kept thinking of them. <sep> How long did you stay alone?,Till they returned home.  It was really a fairly bleak experience_comma_ and one which i am not anxious to repeat.
My kid was fast enough to be a master of snowboarding after taking only few lessons last winters! ,That is pretty great! I am actually still a beginner with snowboarding.
taking only few lessons last winters!  <sep> That is pretty great! I am actually still a beginner with snowboarding.,I believe the sooner you start the better it is ! It also depends upon your passion for the sport.
I believe the sooner you start the better it is ! It also depends upon your passion for the sport.,I feel for me it's just getting to the slopes more often too.
upon your passion for the sport. <sep> I feel for me it's just getting to the slopes more often too.,Yeah true. When did you start?
So i like being prepared for a lot of different situations when i go to conventions.,True ! Conventions give you an opportunity to learn as you never know what kind of situations will prop up
True ! Conventions give you an opportunity to learn as you never know what kind of situations will prop up,Yeah_comma_ I think the most important thing to me is the first aid kit.
of situations will prop up <sep> Yeah_comma_ I think the most important thing to me is the first aid kit.,Do you have a professional degree in first aid?
I'm anticipating a very warm summer here in Dallas. ,Texas does that to us! It helps we live in a place where air conditioning is the norm. Or do you like spending time out in the heat?
live in a place where air conditioning is the norm. Or do you like spending time out in the heat?,No I hate you can't do anything outside and are trapped indoor its not nice. The only thing that I do is swim in my pool and cool off. 
trapped indoor its not nice. The only thing that I do is swim in my pool and cool off. ,I know what you mean. It's like you have to dress for both the outside *and* the inside. That's great you have a pool in which to escape_comma_ though! 
A few weeks ago_comma_ we had a terrible storm_comma_ and my apartment flooded.,Oh no! Hopefully renters insurance covered it!
few weeks ago_comma_ we had a terrible storm_comma_ and my apartment flooded. <sep> Oh no! Hopefully renters insurance covered it!,None of my or the landlord's insurance covered the damage_comma_ so he's paying for the repairs out of pocket.
<sep> None of my or the landlord's insurance covered the damage_comma_ so he's paying for the repairs out of pocket.,Well that is terrible for him but I am glad at least some of it is being taken care of!
Well that is terrible for him but I am glad at least some of it is being taken care of!,Not really_comma_ the repairs were supposed to take three days_comma_ and it's taken over three weeks so far.
of! <sep> Not really_comma_ the repairs were supposed to take three days_comma_ and it's taken over three weeks so far.,Ugg I am sorry to hear that. Sometimes dealing with land lords is a tough business.
I went back though my old high school as part of a reunion.  It brought back many memories.,Were they fond memories?
my old high school as part of a reunion.  It brought back many memories. <sep> Were they fond memories?,Yeah_comma_ most of the were.  I think we forget the awkward stuff.  On the other hand_comma_ I'm not sure I would want to do it again.
we forget the awkward stuff.  On the other hand_comma_ I'm not sure I would want to do it again.,That's understandable. I hope everyone you know is doing well from back then!
By mistake_comma_ I saw an image of a car accident. I was disgusted.,Oh wow that sounds awful! was it graphic?
I saw an image of a car accident. I was disgusted. <sep> Oh wow that sounds awful! was it graphic?,Yes_comma_ the image keep coming back. Terrible.
I was disgusted. <sep> Oh wow that sounds awful! was it graphic? <sep> Yes_comma_ the image keep coming back. Terrible.,I'm so sorry you had to go through that.
My boyfriend cheated on me while I was away visiting family. I was very angry and upset,Sorry to hear about that. Did you ask him to move out of the house?
very angry and upset <sep> Sorry to hear about that. Did you ask him to move out of the house?,No_comma_ we are working on sorting things out but I am still very hurt.
move out of the house? <sep> No_comma_ we are working on sorting things out but I am still very hurt.,Did you know the person who was with him?
on sorting things out but I am still very hurt. <sep> Did you know the person who was with him?,Yes_comma_ unfortunately
I was at this talent show recently. I saw this guy playing a whole song by himself it was crazy.,What song was it? Did you know it?
this guy playing a whole song by himself it was crazy. <sep> What song was it? Did you know it?,Yeah it was Ride the Lightning by Metallica_comma_ which made it even more impressive because it's a very technical and fast song.
was Ride the Lightning by Metallica_comma_ which made it even more impressive because it's a very technical and fast song.,Man that is crazy! Especially that song!
I am pretty much the IT guy among my friends. Always ready to fix computers for them.,I consider myself somewhat knowledgable about them too_comma_ it's very fulfilling being able to help other people with their problems sometimes.
consider myself somewhat knowledgable about them too_comma_ it's very fulfilling being able to help other people with their problems sometimes.,Yeah_comma_ you sorta feel like the specialist among your friends and loved ones.
other people with their problems sometimes. <sep> Yeah_comma_ you sorta feel like the specialist among your friends and loved ones.,Yeah_comma_ sometimes it can be annoying though because they come to you with really easy problems to fix and you feel like they should know how to do it themselves.
I missed up on something_comma_ but was told I could redo it,Did you take that chance and redo it?
missed up on something_comma_ but was told I could redo it <sep> Did you take that chance and redo it?,Not yet I'm still waiting for the email with the new info
you take that chance and redo it? <sep> Not yet I'm still waiting for the email with the new info,I hope the email will bring you good news
I was tired the other day at work because my boyfriend kept me up all night. So annoying.,I know that pain!  Did he keep you up watching tv or video games?
all night. So annoying. <sep> I know that pain!  Did he keep you up watching tv or video games?,Video games! How did you know?
that pain!  Did he keep you up watching tv or video games? <sep> Video games! How did you know?,Because mine does the same thing... If its not video games its the TV on full blast haha! Tell him you need your beauty sleep.
package the next day.  No other info_comma_ but she told me not to open it until I called her.,So have you gotten to open it yet??
she told me not to open it until I called her. <sep> So have you gotten to open it yet??,Yep! I was hoping it was a special award that my company give to deserving employees.  Turns out it was just some HR paperwork that she needed to go over with me regarding my team. Boo!
Turns out it was just some HR paperwork that she needed to go over with me regarding my team. Boo!,Wow! I would have told her to fill out the paperwork herself getting your hopes up like that.
the other day I ate a piece of cake that my mom made for my dad as a gift_comma_ oops.,Oh no!  Well what he didn't know won't hurt him.  Hopefully you can get a replacement.
oops. <sep> Oh no!  Well what he didn't know won't hurt him.  Hopefully you can get a replacement.,Unfortunately he walked in right as I took the last bite! Fortunately it all worked out so no harm done.
Unfortunately he walked in right as I took the last bite! Fortunately it all worked out so no harm done.,Awww well I am glad he was understanding about it.
I recently had to put my cat_comma_ Blackjack_comma_ to sleep. ,Thats unfortunate. It is a difficult decision to make. Sometimes we are put in those situations and they take a toll on us.
is a difficult decision to make. Sometimes we are put in those situations and they take a toll on us.,He was 15 and his kidneys were failing. It was really hard for me and my kids.
